len,align0,align1,dst>src,New / Old
0,0,0,0,2.104
0,2048,0,0,2.104
0,4095,0,0,2.109
0,0,4095,0,2.103
1,1,0,0,2.104
1,0,1,0,2.098
1,1,1,0,2.098
1,2049,0,0,2.102
1,2048,1,0,2.098
1,2049,1,0,2.098
1,4095,0,0,2.103
1,0,4095,0,2.098
2,2,0,0,1.139
2,0,2,0,1.136
2,2,2,0,1.136
2,2050,0,0,1.139
2,2048,2,0,1.136
2,2050,2,0,1.136
2,4095,0,0,1.0
2,0,4095,0,1.022
3,0,0,0,0.981
3,3,0,0,0.984
3,0,3,0,0.982
3,3,3,0,0.982
3,2048,0,0,0.982
3,2051,0,0,0.983
3,2048,3,0,0.982
3,2051,3,0,0.982
3,4095,0,0,0.285
3,0,4095,0,0.231
4,4,0,0,1.373
4,0,4,0,1.31
4,4,4,0,1.282
4,2052,0,0,1.264
4,2048,4,0,1.254
4,2052,4,0,1.254
4,4095,0,0,1.971
4,0,4095,0,1.994
5,0,0,0,1.145
5,5,0,0,1.155
5,0,5,0,1.171
5,5,5,0,1.171
5,2048,0,0,1.197
5,2053,0,0,1.173
5,2048,5,0,1.171
5,2053,5,0,1.171
5,4095,0,0,0.935
5,0,4095,0,1.017
6,0,0,0,1.145
6,6,0,0,1.098
6,0,6,0,1.096
6,6,6,0,1.096
6,2048,0,0,1.12
6,2054,0,0,1.122
6,2048,6,0,1.12
6,2054,6,0,1.096
6,4095,0,0,0.935
6,0,4095,0,1.018
7,0,0,0,1.071
7,7,0,0,1.074
7,0,7,0,1.072
7,7,7,0,1.072
7,2048,0,0,1.096
7,2055,0,0,1.098
7,2048,7,0,1.096
7,2055,7,0,1.096
7,4095,0,0,0.935
7,0,4095,0,1.016
8,8,0,0,1.167
8,0,8,0,1.028
8,8,8,0,1.028
8,2056,0,0,1.069
8,2048,8,0,1.028
8,2056,8,0,1.028
8,4095,0,0,1.029
8,0,4095,0,1.043


length, New / Old
32768,0.866
65536,0.891
131072,0.896
262144,0.901
524288,0.904
1048576,0.913
