                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	11.319	7.7315	7.91609	6.02089	11.5808
Length   16, n   16, alignment  1/ 1:	11.1803	7.58828	7.74812	6.20156	12.2875
Length   16, n   16, alignment  1/ 2:	11.2831	7.59698	7.79123	6.16769	12.2676
Length   16, n   16, alignment  2/ 1:	11.3246	8.33586	7.80665	6.19003	11.7416
Length    2, n    4, alignment  7/ 2:	14.2739	11.4984	12.125	11.652	15.5639
Length    4, n    2, alignment  2/ 7:	11.1511	7.7958	8.22358	7.31192	11.7238
Length    2, n    4, alignment  7/ 2:	13.607	10.9792	12.9429	11.3368	14.7523
Length    4, n    2, alignment  2/ 7:	10.7917	8.51497	8.22366	6.87082	11.3081
Length   16, n   16, alignment  2/ 2:	12.5041	8.12385	7.6976	6.18709	11.7226
Length   16, n   16, alignment  2/ 2:	11.4137	7.74091	7.95387	6.61655	12.1542
Length   16, n   16, alignment  2/ 4:	12.0901	7.79383	7.93261	6.32186	12.2075
Length   16, n   16, alignment  4/ 2:	11.5994	7.72687	7.74926	6.22192	11.789
Length    4, n    8, alignment  6/ 4:	15.7637	12.678	12.2557	10.9648	15.1817
Length    8, n    4, alignment  4/ 6:	11.3708	8.08005	8.46754	7.9707	12.01
Length    4, n    8, alignment  6/ 4:	14.2876	12.0727	12.7771	11.0123	15.0214
Length    8, n    4, alignment  4/ 6:	12.1974	7.87232	8.39199	7.17733	11.9217
Length   16, n   16, alignment  3/ 3:	11.616	7.54808	7.73973	6.31914	12.3705
Length   16, n   16, alignment  3/ 3:	12.1629	7.95439	7.79493	6.33602	12.0946
Length   16, n   16, alignment  3/ 6:	11.7228	7.74361	7.84155	6.51386	13.1006
Length   16, n   16, alignment  6/ 3:	11.2478	7.93099	7.63782	6.16766	11.928
Length    8, n   16, alignment  5/ 6:	14.7288	11.2531	10.501	12.205	15.1512
Length   16, n    8, alignment  6/ 5:	11.5511	8.58172	7.67767	6.50484	12.0777
Length    8, n   16, alignment  5/ 6:	14.6047	12.535	10.3894	10.9647	14.9064
Length   16, n    8, alignment  6/ 5:	11.4542	8.64149	7.73644	6.19754	13.0812
Length   16, n   16, alignment  4/ 4:	11.7418	7.9334	7.53835	6.19153	11.8778
Length   16, n   16, alignment  4/ 4:	11.5141	7.72681	7.70692	6.16767	12.7234
Length   16, n   16, alignment  4/ 0:	11.5417	7.69905	7.68294	6.16766	12.0136
Length   16, n   16, alignment  0/ 4:	11.5038	7.74072	7.62196	6.16764	12.0338
Length   16, n   32, alignment  4/ 0:	14.4277	10.8742	10.7685	11.0475	14.9002
Length   32, n   16, alignment  0/ 4:	11.2636	7.02437	7.03006	6.32196	11.9124
Length   16, n   32, alignment  4/ 0:	14.3699	10.7769	10.544	11.1198	14.9113
Length   32, n   16, alignment  0/ 4:	11.4591	7.01398	6.86349	6.28708	11.9154
