                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	10.9165	7.35894	7.35885	6.22505	11.8818
Length   16, n   16, alignment  1/ 1:	11.5332	7.53838	7.62219	6.16769	11.7217
Length   16, n   16, alignment  1/ 2:	11.2805	7.57492	7.81525	6.32202	12.0912
Length   16, n   16, alignment  2/ 1:	12.4904	7.72685	7.74019	6.16768	11.7402
Length    2, n    4, alignment  7/ 2:	14.4134	11.4452	11.7015	11.0425	13.855
Length    4, n    2, alignment  2/ 7:	10.8593	7.5385	8.23095	6.85305	11.4661
Length    2, n    4, alignment  7/ 2:	13.5421	10.978	11.7016	10.7907	14.5175
Length    4, n    2, alignment  2/ 7:	10.7052	7.53854	8.23189	6.85312	11.576
Length   16, n   16, alignment  2/ 2:	11.064	7.65198	7.56025	6.16775	11.8346
Length   16, n   16, alignment  2/ 2:	11.3637	7.74599	7.72666	6.20541	11.7432
Length   16, n   16, alignment  2/ 4:	11.5236	7.75747	7.74403	6.2928	11.6807
Length   16, n   16, alignment  4/ 2:	11.1306	7.77462	7.67554	6.281	11.9611
Length    4, n    8, alignment  6/ 4:	15.5238	12.0904	11.9695	10.9649	14.6607
Length    8, n    4, alignment  4/ 6:	11.2962	9.05685	8.22384	6.86027	11.759
Length    4, n    8, alignment  6/ 4:	14.1668	12.1725	11.9826	11.0284	14.9946
Length    8, n    4, alignment  4/ 6:	11.1327	9.14857	8.26944	6.85306	11.9617
Length   16, n   16, alignment  3/ 3:	11.3179	7.53942	7.56077	6.1677	11.7724
Length   16, n   16, alignment  3/ 3:	11.4238	7.75308	7.72673	6.3219	11.8436
Length   16, n   16, alignment  3/ 6:	11.4406	7.73436	7.676	6.16761	11.6809
Length   16, n   16, alignment  6/ 3:	11.3622	7.64157	7.72675	6.3103	11.7172
Length    8, n   16, alignment  5/ 6:	15.5885	11.1778	10.153	10.9649	14.5559
Length   16, n    8, alignment  6/ 5:	11.1582	8.45467	7.58276	6.24278	12.1137
Length    8, n   16, alignment  5/ 6:	14.3551	11.0523	10.1594	10.9648	14.6579
Length   16, n    8, alignment  6/ 5:	11.3854	8.30678	7.53838	6.1678	11.9145
Length   16, n   16, alignment  4/ 4:	11.5538	7.77704	7.53832	6.16764	11.6954
Length   16, n   16, alignment  4/ 4:	11.3375	7.74399	7.72669	6.20003	11.65
Length   16, n   16, alignment  4/ 0:	11.3478	7.64792	7.68733	6.17494	11.6499
Length   16, n   16, alignment  0/ 4:	11.3823	7.72665	7.7267	6.24314	11.7076
Length   16, n   32, alignment  4/ 0:	14.4413	10.6822	10.5373	10.9648	14.8365
Length   32, n   16, alignment  0/ 4:	11.3558	6.85308	7.02711	6.29361	11.7243
Length   16, n   32, alignment  4/ 0:	14.4048	10.612	10.5377	10.9649	14.8928
Length   32, n   16, alignment  0/ 4:	11.5276	7.0415	6.90289	6.17543	11.7857
Length   16, n   16, alignment  5/ 5:	11.3466	7.59833	7.57819	6.28561	11.735
Length   16, n   16, alignment  5/ 5:	11.4948	7.69601	7.53821	6.17494	11.8472
Length   16, n   16, alignment  5/ 2:	11.3252	7.61203	7.62289	6.16765	11.6716
Length   16, n   16, alignment  2/ 5:	11.3295	7.72661	7.70128	6.22961	11.743
Length   32, n   64, alignment  3/ 2:	20.4212	9.83797	10.3247	12.6606	19.8946
Length   64, n   32, alignment  2/ 3:	10.57	7.73434	7.71145	7.45684	10.6142
