                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	11.9743	7.99935	8.44182	6.32189	12.1132
Length   16, n   16, alignment  1/ 1:	11.8482	7.72685	7.72681	6.33984	12.3871
Length   16, n   16, alignment  1/ 2:	12.0503	7.78395	7.80092	6.69837	12.0191
Length   16, n   16, alignment  2/ 1:	11.4679	8.22301	7.74554	6.32184	12.0286
Length    2, n    4, alignment  7/ 2:	17.4048	11.4021	12.5663	11.329	14.8275
Length    4, n    2, alignment  2/ 7:	10.928	8.39821	9.07812	7.51559	11.7741
Length    2, n    4, alignment  7/ 2:	14.7947	11.2802	11.9557	11.769	14.6745
Length    4, n    2, alignment  2/ 7:	11.9153	8.51662	8.42934	7.10244	12.0964
Length   16, n   16, alignment  2/ 2:	11.4496	7.72697	7.72677	6.62306	13.8815
Length   16, n   16, alignment  2/ 2:	11.8789	8.53963	7.84553	6.3219	11.9686
Length   16, n   16, alignment  2/ 4:	11.8148	7.7267	7.74539	6.75309	12.6266
Length   16, n   16, alignment  4/ 2:	11.591	8.10028	7.72673	6.32199	12.1757
Length    4, n    8, alignment  6/ 4:	15.0573	12.1707	13.0239	11.2948	15.2917
Length    8, n    4, alignment  4/ 6:	12.0441	7.72695	8.42922	7.38179	11.9492
Length    4, n    8, alignment  6/ 4:	15.1503	12.9495	12.3187	11.6506	15.2268
Length    8, n    4, alignment  4/ 6:	11.3361	8.32308	8.5327	9.49523	12.8629
Length   16, n   16, alignment  3/ 3:	11.51	7.83659	7.72674	6.87709	12.0892
Length   16, n   16, alignment  3/ 3:	11.7353	7.76109	8.26389	6.43144	12.489
Length   16, n   16, alignment  3/ 6:	11.5446	7.75456	7.72688	6.93525	12.0128
Length   16, n   16, alignment  6/ 3:	11.4674	8.27912	8.39438	6.38457	12.256
Length    8, n   16, alignment  5/ 6:	14.4522	11.639	10.4062	11.2523	15.9749
Length   16, n    8, alignment  6/ 5:	11.5694	8.75693	7.75501	6.32199	12.3047
Length    8, n   16, alignment  5/ 6:	14.9369	11.3305	10.6922	13.4407	15.8305
Length   16, n    8, alignment  6/ 5:	11.5662	9.06242	7.72669	6.34197	12.1462
Length   16, n   16, alignment  4/ 4:	11.8337	8.42817	7.85808	7.01291	12.0181
Length   16, n   16, alignment  4/ 4:	11.5777	8.05765	7.74711	6.34197	12.0997
Length   16, n   16, alignment  4/ 0:	11.9995	8.42176	7.85134	6.71466	13.2437
Length   16, n   16, alignment  0/ 4:	11.9308	7.92479	8.52938	6.48391	12.4257
Length   16, n   32, alignment  4/ 0:	15.1746	11.8696	11.1666	12.1275	15.8219
Length   32, n   16, alignment  0/ 4:	12.0985	7.21767	9.57384	6.58954	13.2704
Length   16, n   32, alignment  4/ 0:	15.2389	11.3387	11.0891	11.5271	16.1172
Length   32, n   16, alignment  0/ 4:	11.8701	7.23961	7.60483	6.50699	12.5321
Length   16, n   16, alignment  5/ 5:	12.2246	7.92493	7.94934	6.48391	12.6298
Length   16, n   16, alignment  5/ 5:	11.8152	8.02245	8.4463	6.48399	12.4211
Length   16, n   16, alignment  5/ 2:	11.9225	7.94383	7.92497	6.48392	12.9167
Length   16, n   16, alignment  2/ 5:	11.8822	7.96605	8.27915	6.60445	12.417
Length   32, n   64, alignment  3/ 2:	19.7854	12.0464	13.3603	14.2262	19.3762
Length   64, n   32, alignment  2/ 3:	10.8751	7.94679	7.9252	7.84159	13.0726
Length   32, n   64, alignment  3/ 2:	20.1575	11.3345	12.2476	13.2284	19.4819
Length   64, n   32, alignment  2/ 3:	12.7411	8.58641	8.25268	7.87048	11.2509
Length   16, n   16, alignment  6/ 6:	11.6412	7.93893	7.96609	6.50621	12.2475
Length   16, n   16, alignment  6/ 6:	12.0532	7.99493	7.92496	6.5055	12.3747
Length   16, n   16, alignment  6/ 4:	11.8377	7.9248	7.94914	6.48393	12.5802
Length   16, n   16, alignment  4/ 6:	11.9368	7.9908	7.98828	6.48396	12.3609
Length   64, n  128, alignment  2/ 4:	17.2982	14.5205	14.7403	16.586	19.4908
Length  128, n   64, alignment  4/ 2:	13.0129	9.45218	10.8065	12.2831	13.7251
Length   64, n  128, alignment  2/ 4:	17.1527	14.8534	14.3174	16.5272	19.2989
Length  128, n   64, alignment  4/ 2:	13.4841	10.7314	10.8712	12.1802	13.4772
Length   16, n   16, alignment  7/ 7:	11.6808	7.92492	8.36782	6.5397	12.427
Length   16, n   16, alignment  7/ 7:	11.823	7.92485	7.92503	6.56253	12.3257
Length   16, n   16, alignment  7/ 6:	11.8416	8.03147	8.12157	6.52073	12.29
Length   16, n   16, alignment  6/ 7:	11.6642	7.92472	8.01594	6.48394	12.2988
Length  128, n  256, alignment  1/ 6:	22.6996	18.3076	17.9588	25.8531	24.9366
