                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	10.9354	7.33794	7.35886	6.17296	11.3733
Length   16, n   16, alignment  1/ 1:	10.9749	7.5792	7.53835	6.21259	11.7589
Length   16, n   16, alignment  1/ 2:	11.191	7.53829	7.63201	6.36017	11.7994
Length   16, n   16, alignment  2/ 1:	11.2508	7.74268	7.79222	6.39178	11.9845
Length    2, n    4, alignment  7/ 2:	13.9929	11.1999	13.0371	11.1407	13.7259
Length    4, n    2, alignment  2/ 7:	10.725	8.2236	8.30778	6.769	12.741
Length    2, n    4, alignment  7/ 2:	14.1433	11.2905	11.6501	10.9725	13.4833
Length    4, n    2, alignment  2/ 7:	10.6927	8.32018	8.28651	6.81808	11.4479
Length   16, n   16, alignment  2/ 2:	11.3323	7.55398	7.59034	6.16773	11.9455
Length   16, n   16, alignment  2/ 2:	11.5058	7.77461	7.72687	6.21482	11.871
Length   16, n   16, alignment  2/ 4:	11.2689	7.78814	7.7524	6.16763	11.9277
Length   16, n   16, alignment  4/ 2:	11.4536	7.72485	7.63333	6.32185	12.0446
Length    4, n    8, alignment  6/ 4:	14.2723	12.0315	12.011	10.965	14.9036
Length    8, n    4, alignment  4/ 6:	11.2699	7.59058	8.43648	7.0653	11.881
Length    4, n    8, alignment  6/ 4:	14.2885	12.1685	12.1748	10.9647	14.9164
Length    8, n    4, alignment  4/ 6:	11.2902	7.62595	8.30321	7.04513	12.3176
Length   16, n   16, alignment  3/ 3:	11.145	7.85033	7.55692	6.25813	11.9501
Length   16, n   16, alignment  3/ 3:	11.2516	7.60784	7.63155	6.16767	11.977
Length   16, n   16, alignment  3/ 6:	11.1626	7.53822	7.887	6.32185	11.7443
Length   16, n   16, alignment  6/ 3:	11.1853	7.6935	7.63343	6.16762	12.0218
Length    8, n   16, alignment  5/ 6:	14.2466	11.3043	10.1655	10.9782	14.7288
Length   16, n    8, alignment  6/ 5:	11.2731	8.2237	7.67807	6.16784	12.0008
Length    8, n   16, alignment  5/ 6:	14.7049	10.9811	10.1612	11.1239	14.8512
Length   16, n    8, alignment  6/ 5:	11.4168	8.22366	7.54756	6.16779	12.1312
Length   16, n   16, alignment  4/ 4:	11.3349	7.74289	7.75256	6.16788	11.8818
Length   16, n   16, alignment  4/ 4:	11.4519	7.88858	7.53834	6.16772	11.8382
Length   16, n   16, alignment  4/ 0:	11.4151	7.7007	7.53826	6.34432	12.0758
Length   16, n   16, alignment  0/ 4:	11.1431	7.76977	7.69281	6.21655	11.959
Length   16, n   32, alignment  4/ 0:	14.5447	10.5827	10.8406	10.9648	14.877
Length   32, n   16, alignment  0/ 4:	11.3625	7.02434	6.9333	6.18836	12.003
Length   16, n   32, alignment  4/ 0:	14.4688	10.7642	10.53	10.9649	15.0191
Length   32, n   16, alignment  0/ 4:	11.3513	6.85877	7.11584	6.32182	11.6997
