                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	10.8074	7.35888	7.37783	6.02085	11.5534
Length   16, n   16, alignment  1/ 1:	11.7676	7.5963	7.53829	6.19392	11.7262
Length   16, n   16, alignment  1/ 2:	11.1427	7.59849	7.55994	6.18395	18.2234
Length   16, n   16, alignment  2/ 1:	12.662	7.53831	7.53832	6.27156	11.7028
Length    2, n    4, alignment  7/ 2:	13.7443	11.2389	13.2123	11.1764	13.5659
Length    4, n    2, alignment  2/ 7:	10.8333	8.22354	8.22358	6.82991	11.2928
Length    2, n    4, alignment  7/ 2:	13.5537	10.9648	11.6542	10.704	13.6258
Length    4, n    2, alignment  2/ 7:	10.7715	7.53836	8.13687	6.69506	11.3163
Length   16, n   16, alignment  2/ 2:	11.1806	7.577	7.55574	6.17305	11.7154
Length   16, n   16, alignment  2/ 2:	11.1621	7.69819	7.71672	6.16768	11.718
Length   16, n   16, alignment  2/ 4:	11.2258	7.53821	7.54329	6.16767	11.6728
Length   16, n   16, alignment  4/ 2:	11.3755	7.72681	7.59994	6.16768	11.6562
Length    4, n    8, alignment  6/ 4:	14.3324	12.0124	11.962	10.9705	14.7904
Length    8, n    4, alignment  4/ 6:	11.0446	7.53842	8.23144	6.85312	11.9796
Length    4, n    8, alignment  6/ 4:	14.2238	11.867	11.9617	10.8456	14.5929
Length    8, n    4, alignment  4/ 6:	11.0322	7.53835	8.22869	6.8531	14.0716
Length   16, n   16, alignment  3/ 3:	18.3834	13.2552	12.8459	9.14545	19.2774
Length   16, n   16, alignment  3/ 3:	13.5993	7.53832	7.55887	6.16766	11.6499
Length   16, n   16, alignment  3/ 6:	11.3023	7.55605	7.54564	6.16765	11.7793
Length   16, n   16, alignment  6/ 3:	11.4423	7.74376	7.70545	6.26371	11.8394
Length    8, n   16, alignment  5/ 6:	14.5023	11.2445	10.2061	10.9714	14.7132
Length   16, n    8, alignment  6/ 5:	11.4577	8.22372	7.5444	6.16786	11.7412
Length    8, n   16, alignment  5/ 6:	14.2815	11.2226	10.1792	11.0149	14.7669
Length   16, n    8, alignment  6/ 5:	11.0945	8.22363	7.54333	6.18896	11.8538
Length   16, n   16, alignment  4/ 4:	11.3805	7.62424	7.61246	6.16771	11.8095
Length   16, n   16, alignment  4/ 4:	11.3942	7.65658	7.53831	6.16762	11.7997
Length   16, n   16, alignment  4/ 0:	11.5309	7.63818	7.5383	6.24922	11.73
Length   16, n   16, alignment  0/ 4:	11.2462	7.73311	7.72663	6.21214	11.6816
Length   16, n   32, alignment  4/ 0:	14.2524	10.642	10.6523	10.9649	14.8951
Length   32, n   16, alignment  0/ 4:	11.142	6.90206	7.04626	6.28381	12.0413
