                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	10.7702	7.35891	7.35887	6.07226	11.7652
Length   16, n   16, alignment  1/ 1:	11.3862	10.0104	7.53827	6.2069	11.6233
Length   16, n   16, alignment  1/ 2:	11.2881	7.53822	7.53832	6.18332	11.7058
Length   16, n   16, alignment  2/ 1:	11.4922	7.61039	7.55882	6.18276	11.667
Length    2, n    4, alignment  7/ 2:	13.8263	11.0159	11.6237	11.0866	13.5721
Length    4, n    2, alignment  2/ 7:	11.0722	7.55589	8.24559	6.85301	11.4589
Length    2, n    4, alignment  7/ 2:	14.6082	10.941	11.4159	10.7109	14.4341
Length    4, n    2, alignment  2/ 7:	11.3009	7.91722	8.22877	6.82376	11.2811
Length   16, n   16, alignment  2/ 2:	11.1638	7.57637	7.54342	6.16787	11.8569
Length   16, n   16, alignment  2/ 2:	11.1284	7.53823	7.54327	6.16768	11.6999
Length   16, n   16, alignment  2/ 4:	11.1966	7.53829	7.68659	6.32633	11.8528
Length   16, n   16, alignment  4/ 2:	11.4295	7.7091	7.53827	6.16766	11.7511
Length    4, n    8, alignment  6/ 4:	14.7867	11.8741	11.9557	10.9796	14.841
Length    8, n    4, alignment  4/ 6:	11.0268	7.58675	8.22363	6.86677	11.8354
Length    4, n    8, alignment  6/ 4:	14.0608	11.8681	11.9608	10.9648	14.7678
Length    8, n    4, alignment  4/ 6:	11.0374	7.55679	8.28247	6.85702	11.9936
Length   16, n   16, alignment  3/ 3:	11.1942	7.53844	7.53832	6.17351	11.7852
Length   16, n   16, alignment  3/ 3:	11.3842	7.62325	7.53824	6.22926	11.7572
Length   16, n   16, alignment  3/ 6:	11.2423	7.62216	7.53823	6.17216	11.8611
Length   16, n   16, alignment  6/ 3:	11.3136	7.60792	7.72671	6.19719	11.8675
Length    8, n   16, alignment  5/ 6:	14.02	11.0995	10.1898	10.9647	14.6652
Length   16, n    8, alignment  6/ 5:	11.1003	8.22359	7.53835	6.17242	11.7694
Length    8, n   16, alignment  5/ 6:	14.0681	10.9647	11.2591	11.6561	15.3533
Length   16, n    8, alignment  6/ 5:	11.403	8.44642	7.73383	6.20465	11.9473
Length   16, n   16, alignment  4/ 4:	11.4291	7.74427	7.67456	6.16766	11.6583
Length   16, n   16, alignment  4/ 4:	11.4717	7.72675	7.73176	6.32191	11.7609
Length   16, n   16, alignment  4/ 0:	11.3318	7.64594	7.54623	6.32634	11.7373
Length   16, n   16, alignment  0/ 4:	11.3214	7.54276	7.63214	6.22411	11.8142
Length   16, n   32, alignment  4/ 0:	14.5161	10.701	10.7045	10.97	14.9111
Length   32, n   16, alignment  0/ 4:	11.2312	6.85306	6.85997	6.1677	11.9903
Length   16, n   32, alignment  4/ 0:	14.5003	10.6475	10.7564	10.9696	14.8014
Length   32, n   16, alignment  0/ 4:	11.3	6.85315	6.859	6.16768	11.7411
Length   16, n   16, alignment  5/ 5:	11.5555	7.72676	7.5756	6.16782	11.6627
Length   16, n   16, alignment  5/ 5:	11.2362	7.65955	7.60751	6.28019	11.6995
Length   16, n   16, alignment  5/ 2:	11.1842	7.7169	7.68727	6.18881	12.0216
Length   16, n   16, alignment  2/ 5:	11.263	7.5432	7.53822	6.16772	11.6642
Length   32, n   64, alignment  3/ 2:	18.7972	9.71933	10.5253	12.8018	18.3908
Length   64, n   32, alignment  2/ 3:	10.4756	7.72699	7.67141	7.46083	10.5814
Length   32, n   64, alignment  3/ 2:	18.3522	10.6424	10.3832	12.5701	19.4317
Length   64, n   32, alignment  2/ 3:	10.549	7.63601	7.73294	7.51965	10.6465
Length   16, n   16, alignment  6/ 6:	11.3841	7.74954	7.66812	6.16768	11.7422
Length   16, n   16, alignment  6/ 6:	11.1593	7.68902	7.53825	6.16763	11.8189
Length   16, n   16, alignment  6/ 4:	11.3167	7.54284	7.5382	6.19063	11.8999
Length   16, n   16, alignment  4/ 6:	11.3963	7.65607	7.70849	6.16762	11.6982
Length   64, n  128, alignment  2/ 4:	16.1819	14.0534	13.7998	15.7767	17.1225
Length  128, n   64, alignment  4/ 2:	12.464	10.168	10.5106	11.5934	12.7591
